Institute_Name,Type_of_Institute,Doc_No.,Program_Name,Duration,Program_Type
Indian Statistical Institute,Deemed University,23_1,Bachelors in Statistics,3 years,Graduate
Indian Statistical Institute,Deemed University,23_2,Bachelors in Maths,3 years,Graduate
Indian Statistical Institute,Deemed University,23_3,Masters in Computer Sceince,2 years,Post Graduate
Indian Statistical Institute,Deemed University,23_4,Masters in Statistics,2 years,Post Graduate
Indian Statistical Institute,Deemed University,23_5,masters in Cryptology,2 years,Post Graduate
Tamil Nadu Agricultural University,Deemed University,33_1,Baachelor in Agriculture,3 years,Graduate
Tamil Nadu Agricultural University,Deemed University,33_2,Masters in  Agricultural Economics ,2 years,Post Graduate
IIT Madras,Deemed University,3_1,Bachelor in Technology ,4 years,Graduate
IIT Madras,Deemed University,3_2,Masters in Technology ,2 years,Post Graduate
IIT Madras,Deemed University,3_3,Masters in Business Administration,2 years,Post Graduate
Anna University,Deemed University,22_1,Bachelor in Technology ,4 years,Graduate
Anna University,Deemed University,22_2,Masters in Technology ,2 years,Post Graduate
Anna University,Deemed University,22_3,Masters in Computer Application,2 years,Post Graduate
Anna University,Deemed University,22_4,MTech AI and Data_Sceince ,2 years,Post Graduate
Anna University,Deemed University,22_5,Masters in Business Administration,2 years,Post Graduate
Vellore Institute of Technology,Central University,10_1,Bachelor in Technology_CSE,4 years,Graduate
Vellore Institute of Technology,Central University,10_2,Bachelor in technology CSE (Data Science),4 years,Graduate
Vellore Institute of Technology,Central University,10_3,Masters of Science ,2 years,Post Graduate
Vellore Institute of Technology,Central University,10_4,Masters  Data Science ,2 years,Post Graduate
Vellore Institute of Technology,Central University,10_5,Masters in Business Administration ,2 years,Post Graduate
IIT Kanpur,Deemed University,1_1,Bachelor in Technology ,4 years,Graduate
IIT Kanpur,Deemed University,1_2,Masters in Business Administration ,2 years,Post Graduate
IIT BoMasters in Business Administrationy,Deemed University,2_1,Masters in Technology ,2 years,Post Graduate
IIT BoMasters in Business Administrationy,Deemed University,2_2,Ph.D.,2 years,Doctor of Philosophy
IIT BoMasters in Business Administrationy,Deemed University,2_3,Masters  Biosciences ,2 years,Post Graduate
IIT Delhi,Deemed University,4_1,Bachelor in Technology ,4 years,Graduate
IIT Delhi,Deemed University,4_2,Masters in Technology ,2 years,Post Graduate
IIT Delhi,Deemed University,4_3,Masters in Business Administration ,2 years,Post Graduate
University of Delhi,Deemed University,5_1,Masters in Business Administration-IB,2 years,Post Graduate
University of Delhi,Deemed University,5_2,Bachelor in Technology ,4 years,Graduate
University of Delhi,Deemed University,5_3,Masters of Science ,2 years,Post Graduate
University of Delhi,Deemed University,5_4,Masters in Computer Application,2 years,Post Graduate
IIT Kharagpur,Deemed University,6_1,Bachelor in Technology ,4 years,Graduate
IIT Kharagpur,Deemed University,6_2,Masters in Technology ,2 years,Post Graduate
IIT Kharagpur,Deemed University,6_3,Masters in Business Administration,2 years,Post Graduate
Indian Institute of Science,Deemed University,8_1,Bachelors of Science (Bachelor ),3 years,Graduate
Indian Institute of Science,Deemed University,8_2,Bachelors of Science (Biology) ,3 years,Graduate
Indian Institute of Science,Deemed University,8_3,Bachelor in technology in Mathematics and Computing,4 years,Graduate
Manipal Academy of Higher Education,Central University,9_1,Bachelor in technology CSE (Data Science) ,4 years,Graduate
Manipal Academy of Higher Education,Central University,9_2,Masters in Computer Application,2 years,Post Graduate
Manipal Academy of Higher Education,Central University,9_3,Masters in Data Sceince,2 years,Post Graduate
Manipal Academy of Higher Education,Central University,9_4,Masters  FE ,2 years,Post Graduate
IIT Hyderabad,Deemed University,29_1,Bachelor in Technology ,4 years,Graduate
IIT Hyderabad,Deemed University,29_2,Masters in Technology ,2 years,Post Graduate
IIT Hyderabad,Deemed University,29_3,Masters in AI ,2 years,Post Graduate
IIT Hyderabad,Deemed University,29_4,Bachelor in AI ,4 years,Graduate
IIIT Hyderabad,Central University,11_1,Bachelor in Computer Science ,4 years,Graduate
IIIT Hyderabad,Central University,11_2,Masters in Computer Science ,2 years,Post Graduate
IIIT Hyderabad,Central University,11_3,Masters   Science,2 years,Post Graduate
